Nro,Municipio,Dependencia,Dirección,Horario,Email,WhatsApp,Localidades,Cabecera
77.0,Magdalena,Subsecretaría de Desarrollo Humano y Familia,Brenan y Goenaga,7:00 a 13:00 horas,,,"Magdalena: General Mansilla (Est. Bartolomé Bavio), Atalaya, Vieytes, Roberto J. Payró, Los Naranjos",Magdalena
78.0,Maipú,Asesoría Legal,Rivadavia 455,7:30 a 12:30 horas,,,"Maipú, Las Armas, Santo Domingo",Maipú
79.0,Malvinas Argentinas,,"Av. Presidente Perón 4276, Ciudad Malvinas",8 a 16 horas,,1123962234,"Área de Promoción El Triángulo, Grand Bourg, Ingeniero Adolfo Sourdeaux",Los Polvorines
80.0,Mar Chiquita,Oficina de Tierras,"Beltrami N° 50, 1er Piso (Salón Blanco), Palacio Municipal",7 a 14 horas,,2236957993,"Coronel Vida General Pirán, La Armonía, Mar Chiquita, Mar de Cobo, La Baliza, La Caleta, Mar de Cobo, Santa Clara del Mar, Atlántida, Camet Norte, Frente Mar,",Coronel Vidal
81.0,Marcos Paz,,Hipólito Yrigoyen N° 132,8 a 15 horas,,,"Marcos Paz, Elías Romero, Santa Rosa, Lisandro de la Torre, Santa Marta, Barrio El Portugués",Marcos Paz
82.0,Mercedes,Dirección de Tierras y Hábitat,Avenida 29 Nº 599,8 a 14 horas,tierras@mercedes.gob.ar,02324-15560471,"Agote, Altamira, Goldney, Gowland, J. M. García, La Verde, Mercedes",
83.0,Merlo,,Calle Libertad 843,8:00 a 14:00 horas,,,"Merlo, San Antonio de Padua, Libertad, Mariano Acosta, Parque San Martín",Merlo
84.0,Monte Hermoso,Secretaría de Asesoría Legal y Técnica,Nelida María Fossatty 250,8:00 a 13:30 horas,,,Monte hermoso,Monte Hermoso
85.0,Moreno,Dirección General de Escrituración,Libertador 750,8 a 16 horas,,,"Moreno, La Reja, Francisco Álvarez, Cuartel V, Trujui, Paso del Rey",Moreno
86.0,Morón,,"Buen Viaje 968, Oficina 8",8:30 a 13:00 horas,,,"Morón, Castelar, El Palomar, Haedo, Villa Sarmiento",Morón
87.0,Navarro,,107 N° 80,7 a 13:30 horas,,,"Navarro, Villa Moll, Las Marianas, José Juan Almeyra",Navarro
88.0,Necochea,Secretaría de Desarrollo Humano y Políticas Sociales,"Av. 58 y Calle 61, Centro Cívico Subsuelo",8:15 a 13:45 horas,,,"Necochea, Quequén, Juan Nepomuceno Fernández, La Dulce (Nicanor Olivera), Claraz, Ramón Santamarina, Energía, Balneario Los Ángeles",Necochea
89.0,Nueve de Julio,,"Libertad 934, Palacio Municipal",7 a 13:00 horas,,,"Dennehy, Doce de Octubre, Dudignac, Facundo Quiroga, French, La Niña, Morea, Naón, Norumbega, 9 de Julio, Patricios:, Villa General Fournier",
90.0,Olavarría,Dirección de Casa de Tierras y Regularización Dominial,Rivadavia Nº 2861,7:30 a 12:30 horas,,,"Sierras Bayas, Loma Negra, Sierra Chica, Hinojo, Colonia Hinojo. Colonia San Miguel, Espigas, Recalde, Villa Mi Serranía o Villa La Serranía, Santa Luisa, Blanca Grande, Colonia Nievas",Olavarría
91.0,Patagones,Subsecretaría de Asuntos Jurídicos y Técnica,"Comodoro Rivadavia Nº 193, Palacio Municipal",8:00 a 13:00 horas,Sublegales@gmail.com,,"Carmen de Patagones, Villalonga, Stroeder",Carmen de Patagones
92.0,Pehuajó,"Secretaría de Obras Públicas, Oficina de Tierras",Alsina 555,7:30 a 11:00 horas y 17:30 a 20:00 horas,,,"Pehuajó, Juan José Paso, Mones Cazón, Francisco Madero , San Bernardo de Pehuajó, Magdala, Nueva Plata, Chiclana, Capitán Castro",Pehuajó
93.0,Pellegrini,Oficina de Legales,Alsina 250,7 a 13 horas,,,"Pellegrini, Bocayuva, De Bary",Pellegrini
94.0,Pergamino,Secretaría de Tierras y Vivienda,"Dr. Alem Nº 411, 7º piso",8:00 a 13:00 horas,,,Pergamino: Acevedo. Manuel Ocampo.,Pergamino
95.0,Pila,Dirección de Tierras,Calle 11 Nº 499,7 a 13 horas,,,"Pila, Casalins",Pila
96.0,Pilar,,Rivadavia 335,8 a 14 horas,,,"Cuartel I: Del Viso, localidad. Cuartel II: Fátima,Cuartel III: La Lonja, Cuartel IV: Manzanares,Cuartel V: comprendido por las localidades Del Pilar y a su vez Pilar Sur, Champagnat y San Francisco. Cuartel VI: Presidente Derqui, Cuartel VII:  Villa Astolfi y Manzone. Cuartel VIII: Manuel Alberti y Lagomarsino (esta última compartida con el partido de Escobar en Maquinista F. Savio). Cuartel IX: Villa Rosa,Cuartel X: Zelaya,",Pilar
97.0,Pinamar,,Av. Shaw 687,8 a 14 horas,,,"Montecarlo: Pinamar Mar de Ostende, Ostende, Valeria del Mar, Cariló.",Pinamar
98.0,Presidente Perón,,"Av crisologo Larralde 241 primer piso, Guernica",08.00hs a 14:00 horas,,,"Guernica,",Guernica
99.0,Púan,Of. Catastro,Ortuzar 51,07 a 14 horas,,,Púan,
100.0,Punta Indio,,"Calle 30 Nº 1336 e/ 25 y 27, Localidad de Verónica, Pdo. de Punta Indio.",8 a 14 horas.,,,"Verónica, Pipinas,Punta del Indio, Álvarez Jonte, Las Tahonas, Monte Veloz",Verónica
101.0,Quilmes,"Subsecretaria de Hábitat  - Dccion.Gral. de Vivienda,Tierras y Regularización Dominial",Calle Alberdi N° 500 entre Paz y Pringles,8 a 13:30 horas,,,Quilmes,Quilmes
102.0,Ramallo,Secretaria de Obras y Servicios Públicos - Dirección de Catastro y Hábitat - y Tierras y Viviendas Municipal 1piso,Avda San Martin 989 ciudad de Ramallo,7:30 a 13 horas.,,,"Ramallo, El Paraíso. Las Bahamas. Pérez Millán. Villa Ramallo",Ramallo
103.0,Rauch,Oficina de Regularización Dominial a cargo de Griselda Anahí Vázquez,Calle Rivadavia Nro 750 - Palacio Municipal,6 a 13 horas,,+54 9 2494 69-7951,"Rauch, Chapaleofú, Egaña, Martín Colman, Miranda, Villa San Pedro",Rauch
104.0,Rivadavia,,Marcos Cachau 50,8:00 a 14:00 horas,,,América . González Moreno. Fortín Olavarría . Sansinena. Roosevelt . Sundblad. Mira Pampa. San Mauricio,América
105.0,Rojas,Regularización Dominial y Protección A La Vivienda,PASEO DE LA DEMOCRACIA PDTE. Dr. RAÚL R. ALFONSÍN 428 - ROJAS,8 a 13 horas,,,"Rojas, Las Carabelas, Rafael Obligado, Los Indios, La Beba, Villa Parque Cecir, Roberto Cano, Sol de Mayo",Rojas
106.0,Roque Pérez,,Mitre 1310,8.00 a 12.30 horas,,,"Roque Pérez, Carlos Beguerie, Juan Tronconi, La Reforma, Santiago Larre, El Lobo Tauzy",Roque Pérez
107.0,Saavedra,,Ciudad de Rodez Nº 99 de la Ciudad de Pigüé,7 a 13:30 horas,,,"Pigüé, Saavedra, Espartillar, Goyena, Arroyo Corto, Dufaur",Pigüé
108.0,Saladillo,Dirección de Asuntos Legales,San Martín 3151,8 a 13 horas,,,"Saladillo, Del Carril, Polvaredas, Cazón. Álvarez de Toledo,",Saladillo
109.0,Salliqueló,Asesoría Legal,9 de Julio y Rivadavia,De 7 a 13 horas,,,"Salliqueló, Quenumá",Salliqueló
110.0,Salto,,calle Buenos Aires Nº369 esquina Alvear de Salto,07:00hs a 13:00 horas,,,"Salto, Arroyo Dulce, Inés Indart, Gahan, Berdier La Invencible",Salto
111.0,San Andrés de Giles,,calle moreno 338,8 a 13 horas,,,"San Andrés de Giles, Solís, Villa Ruiz, Cucullú , Azcuénaga, Villa Espil. Franklin",San Andrés de Giles
112.0,San Cayetano,,Av. San Martin N°439 Planta Alta,7.00 a 14.00 horas,,,"San Cayetano, Ochandío . Balneario San Cayetano",San Cayetano
113.0,San Isidro,"Dirección Gral. de Regularización Dominial,",,,,,Villa Adelina. Boulogne Sur Mer. Martínez. Acassuso. San Isidro. Beccar,San Isidro
114.0,San Fernando,Dirección General de Desarrollo Habitacional - Oficina: Casa de Tierras,"Brandsen 675 (entre calles, Quirno Costa y Gral. Pinto) - San Fernando",8:00 a 15:00 horas,,,San Fernando. Victoria. Virreyes. Islas del Delta del Paraná,San Fernando
115.0,San Miguel,"Oficina: Subsecretaria de Tierras, Vivienda y Urbanismo Social.","Sarmiento 1.551 (of. 19), San Miguel, pdo. de San Miguel",08:00 a 14:00 horas,,,"San Miguel, Bella vista, Campo de mayo, Muñiz, Santa Maria.",San Miguel
116.0,San Nicolás,,,7 a 13 horas,,,Campos Salles. Conesa. Erézcano. General Rojo.La Emilia. San Nicolás de los Arroyos. Villa Campi. Villa Canto. Villa Esperanza. Villa Hermosa. Villa Riccio,San Nicolás de los Arroyos
117.0,San Vicente,,"Sarmiento Nro. 39, 2do. Piso.",8 a 14 horas,,,"San Vicente, Alejandro Korn, Domselaar, Las Gaviotas de Canning",San Vicente
118.0,Monte,,Giagnacovo N°: 636,8 a 14 horas,,,"San Miguel del Monte, Abbott, Zenón Videla Dorna",San Miguel del Monte
119.0,San Antonio de Areco,Oficina de tramitación de regularización dominial Asesoría Letrada,Lavalle 363,8 a 14 horas,,,San Antonio de Areco. Villa Lía. Duggan. Vagues,San Antonio de Areco
120.0,San Pedro,,Calle Arnaldo 150 San Pedro,8 a 14 horas.,,,"San Pedro. Gobernador Castro, Santa Lucía. Río Tala. Pueblo Doyle. Obligado. Ingeniero Moneta",San Pedro
121.0,Suipacha,,San Martín 90 Suipacha.,,,,"Suipacha. General Rivas, Roman Baez.",Suipacha
122.0,Salto,,Buenos Aires Nº 369 esquina Alvear,7:00 a 13:00 horas,gobierno@salto.gob.ar,,Salto,Salto
123.0,San Andrés de Giles,,Moreno 338,8 a 13 horas,,,San Andrés de Giles. Solís. Villa Ruiz. Cucullú. Azcuénaga. Villa Espil. Franklin,San Andrés de Giles
124.0,San Cayetano,,"Av. San Martin N° 439, Planta Alta",7:00 a 14:00 horas,,,San Cayetano. Ochandío. Balneario San Cayetano,San Cayetano
125.0,San Isidro,Dirección General de Regularización Dominial,,,dgrd.msi@gmail.com,,Villa Adelina. Boulogne Sur Mer. Martínez. Acassuso.San Isidro. Beccar,San Isidro
126.0,San Fernando,Dirección General de Desarrollo Habitacional - Casa de Tierras,Brandsen 675 (entre Quirno Costa y Gral. Pinto),8:00 a 15:00 horas,,11-2754-0177,San Fernando. Victoria. Virreyes. Islas del Delta del Paraná,San Fernando
127.0,San Miguel,,Giagnacovo 636,8 a 14 horas,,,"San Miguel del Monte,Abbott,Zenón, Videla, Dorna",San Miguel
128.0,San Nicolás,,,7 a 13 horas,,,,San Nicolás de los Arroyos
129.0,San Vicente,,"Sarmiento 39, 2do Piso",8 a 14 horas,,,,San Vicente
130.0,Monte,,Giagnacovo 636,8 a 14 horas,,,,San Miguel del Monte
131.0,San Antonio de Areco,Oficina de Regularización Dominial - Asesoría Letrada,Lavalle 363,8 a 14 horas,,,,San Antonio de Areco
132.0,San Pedro,,Calle Arnaldo 150,8 a 14 horas,,,,San Pedro
133.0,Zárate,Dirección de Desarrollo Comunitario y Hábitat Social,"Pinto y Esmeralda S/N, Edificio Witcel, 1er piso",8:30 a 14:30 horas,habitat@zarate.gob.ar,03487-654699,Zárate. Lima: Escalada,Zárate
